KEY,NAME,ALT,COUNTRIES,,AREA,COORDNS,V,COORDEW,H
1,EVEREST,8848,NEP/TIB,NH,KHUMBU HIMAL,"27°59'17"""",N,"86°55'31"""",E
2,K2,8611,PAK/SIN,Kk,BALTORO MUZTAGH,"35°52'55"""",N,"76°30'51"""",E
3,KANGCHENJUNGA,8586,NEP/IND,SH,KANGCHENJUNGA HIMAL,"27°42'09"""",N,"88°09'01"""",E
4,LHOTSE,8516,NEP/TIB,NH,KHUMBU HIMAL,"27°57'45"""",N,"86°56'03"""",E
5,MAKALU,8485,NEP/TIB,NH,BARUN HIMAL,"27°53'23"""",N,"87°05'20"""",E
6,CHO OYU,8188,NEP/TIB,NH,KHUMBU HIMAL,"28°05'37"""",N,"86°39'43"""",E
7,DHAULAGIRI I,8167,NEP,NH,DHAULAGIRI HIMAL,"28°41'46"""",N,"83°29'42"""",E
8,MANASLU,8163,NEP,NH,MANSIRI HIMAL,"28°32'58"""",N,"84°33'43"""",E
9,NANGA PARBAT,8125,PAK,KH,NANGA PARBAT AREA,"35°14'21"""",N,"74°35'24"""",E
10,ANNAPURNA I,8091,NEP,NH,ANNAPURNA HIMAL,"28°35'45"""",N,"83°49'20"""",E
11,GASHERBRUM I,8080,PAK/SIN,Kk,BALTORO MUZTAGH,"35°43'30"""",N,"76°41'48"""",E
12,BROAD PEAK,8051,PAK/SIN,Kk,BALTORO MUZTAGH,"35°48'35"""",N,"76°34'25"""",E
13,GASHERBRUM II,8034,PAK/SIN,Kk,BALTORO MUZTAGH,"35°45'31"""",N,"76°39'15"""",E
14,SHISHA PANGMA,8027,TIB,NH,JUGAL HIMAL,"28°21'07"""",N,"85°46'55"""",E
