Second name,First name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events,var10,var11,var12,var13
Kyiko,Maryna,162,52,Ukraine,UKR,W,Gymnastics - Trampoline,Women's Trampoline,,,,
Chen,Yibing,160,58,China,CHN,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Berki,Krisztian,178,69,Hungary,HUN,M,Gymnastics - Artistic,Men's Qualifications,,,,
Zetlin,Julie,168,54,Team USA,USA,W,Gymnastics - Rhythmic,Women's Individual All-Around,,,,
Ueyama,Yasuhiro,162,59,Japan,JPN,M,Gymnastics - Trampoline,Men's Trampoline,,,,
Davtyan,Artur,162,64,Armenia,ARM,M,Gymnastics - Artistic,Men's Qualifications,,,,
Tunney,Rebecca,149,35,Team GB,GBR,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Nabarrete Zanetti,Arthur,156,62,Brazil,BRA,M,Gymnastics - Artistic,Men's Qualifications,,,,
Horton,Jonathan,157,59,Team USA,USA,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Smith,Louis,179,76,Team GB,GBR,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Ivankova,Anastasiya,171,58,Belarus,BLR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Tsurumi,Koko,141,34,Japan,JPN,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Marachkouskaya,Nastassia,167,60,Belarus,BLR,W,Gymnastics - Artistic,Women's Qualifications,,,,
Brennan,Ashleigh,159,46,Australian Olympic Team,AUS,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Pennes,Gregoire,179,68,France,FRA,M,Gymnastics - Trampoline,Men's Trampoline,,,,
Oldham,Sam,168,62,Team GB,GBR,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Gomon,Yevgeniya,172,48,Ukraine,UKR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Smith,Rachel,172,64,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Ushakov,Dmitry,176,64,Russian Federation,RUS,M,Gymnastics - Trampoline,Men's Trampoline,,,,
Vinsant,Savannah,160,54,Team USA,USA,W,Gymnastics - Trampoline,Women's Trampoline,,,,
Bonora,Georgia,161,51,Australian Olympic Team,AUS,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Makarenko,Alina,172,48,Russian Federation,RUS,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Whelan,Hannah,160,53,Team GB,GBR,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Boy,Philipp,172,65,Germany,GER,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Kato,Ryohei,162,54,Japan,JPN,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Hatakeyama,Airi,170,49,Japan,JPN,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Huang,Shanshan,158,47,China,CHN,W,Gymnastics - Trampoline,Women's Trampoline,,,,
Jensen,Peter,177,70,Denmark,DEN,M,Gymnastics - Trampoline,Men's Trampoline,,,,
Cotuna,Vlad Bogdan,163,60,Romania,ROU,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Murray,Janine,169,54,Australian Olympic Team,AUS,W,Gymnastics - Rhythmic,Women's Individual All-Around,,,,
Kononenko,Nataliya,158,50,Ukraine,UKR,W,Gymnastics - Artistic,Women's Qualifications,,,,
Campana,Giorgia,152,46,Italy,ITA,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Bliznyuk,Anastasia,173,50,Russian Federation,RUS,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Serseri,Sophia,154,45,France,FRA,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Almeida Campos,Manuel,163,60,Portugal,POR,M,Gymnastics - Artistic,Men's Qualifications,,,,
Hutchison,Lynne,173,60,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Fox,Francesca,167,58,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Purvis,Daniel,168,62,Team GB,GBR,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Driscoll,Kat,168,56,Team GB,GBR,W,Gymnastics - Trampoline,Women's Trampoline,,,,
Pouli,Louisa,162,57,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Tweddle,Beth,160,53,Team GB,GBR,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Pinches,Jennifer,160,55,Team GB,GBR,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Cairns,Imogen,156,59,Team GB,GBR,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
Thomas,Kristian,180,79,Team GB,GBR,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Whitlock,Max,167,57,Team GB,GBR,M,Gymnastics - Artistic,Men's Team,Men's Qualifications,,,
Jones,Francesca,172,56,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Individual All-Around,,,,
Faulkner,Jade,162,50,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Cassar,Georgina,170,61,Team GB,GBR,W,Gymnastics - Rhythmic,Women's Group All-Around,,,,
Teramoto,Asuka,136,30,Japan,JPN,W,Gymnastics - Artistic,Women's Qualifications,Women's Team,,,
