Second name,First name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events,var10,var11,var12,var13
Williams,Venus,185,75,Team USA,USA,W,Tennis,Women's Doubles,Women's Singles,,,
Pironkova,Tsvetana,180,66,Bulgaria,BUL,W,Tennis,Women's Singles,,,,
Nalbandian,David,180,79,Argentina,ARG,M,Tennis,Men's Singles,Men's Doubles,,,
Dimitrov,Grigor,190,81,Bulgaria,BUL,M,Tennis,Men's Singles,,,,
Dodig,Ivan,183,83,Croatia,CRO,M,Tennis,Men's Singles,Men's Doubles,,,
Begu,Irina-Camelia,181,67,Romania,ROU,W,Tennis,Women's Singles,,,,
Vesnina,Elena,180,65,Russian Federation,RUS,W,Tennis,Women's Doubles,,,,
Hradecka,Lucie,177,72,Czech Republic,CZE,W,Tennis,Women's Doubles,,,,
Rochus,Olivier,166,63,Belgium,BEL,M,Tennis,Men's Singles,,,,
Rosolska,Alicja,166,53,Poland,POL,W,Tennis,Women's Doubles,,,,
Ram,Andy,180,83,Israel,ISR,M,Tennis,Men's Doubles,,,,
Fyrstenberg,Mariusz,190,79,Poland,POL,M,Tennis,Men's Doubles,,,,
Djokovic,Novak,188,82,Serbia,SRB,M,Tennis,Men's Singles,Men's Doubles,,,
Monaco,Juan,185,77,Argentina,ARG,M,Tennis,Men's Singles,,,,
Schwank,Eduardo,183,83,Argentina,ARG,M,Tennis,Men's Doubles,,,,
Watson,Heather,168,64,Team GB,GBR,W,Tennis,Women's Doubles,,,,
Paszek,Tamira,165,62,Austria,AUT,W,Tennis,Women's Singles,,,,
Verdasco,Fernando,188,81,Spain,ESP,M,Tennis,Men's Singles,,,,
Giraldo,Santiago,188,75,Colombia,COL,M,Tennis,Men's Singles,Men's Doubles,,,
Petrova,Nadia,178,65,Russian Federation,RUS,W,Tennis,Women's Doubles,Women's Singles,,,
Murray,Jamie,190,82,Team GB,GBR,M,Tennis,Men's Doubles,,,,
Melzer,Jurgen,184,80,Austria,AUT,M,Tennis,Men's Singles,Men's Doubles,,,
Robson,Laura,180,62,Team GB,GBR,W,Tennis,Women's Doubles,,,,
Hutchins,Ross,191,87,Team GB,GBR,M,Tennis,Men's Doubles,,,,
Murray,Andy,188,84,Team GB,GBR,M,Tennis,Men's Singles,Men's Doubles,,,
Baltacha,Elena,175,70,Team GB,GBR,W,Tennis,Women's Doubles,Women's Singles,,,
Keothavong,Anne,174,63,Team GB,GBR,W,Tennis,Women's Doubles,Women's Singles,,,
Fleming,Colin,188,78,Team GB,GBR,M,Tennis,Men's Doubles,,,,
