Second name,First name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events,var10,var11,var12,var13
Kvyatkovskyy,Andriy,173,71,Ukraine,UKR,M,Wrestling,Men's Freestyle 66kg,,,,
Midana,Augusto,167,74,Guinea-Bissau,GBS,M,Wrestling,Men's Freestyle 74kg,,,,
Chintoan,Rares Daniel,189,120,Romania,ROU,M,Wrestling,Men's Freestyle 120kg,,,,
Guenot,Steeve,172,66,France,FRA,M,Wrestling,Men's Greco-Roman 66kg,,,,
Velikov,Radoslav Marinov,162,55,Bulgaria,BUL,M,Wrestling,Men's Freestyle 55kg,,,,
Gadisov,Abdusalam,178,84,Russian Federation,RUS,M,Wrestling,Men's Freestyle 96kg,,,,
Pliev,Khetag,182,96,Canada,CAN,M,Wrestling,Men's Freestyle 96kg,,,,
Goudarzi,Sadegh Saeed,179,74,Iran,IRI,M,Wrestling,Men's Freestyle 74kg,,,,
Jargalsaikhan,Chuluunbat,184,116,Mongolia,MGL,M,Wrestling,Men's Freestyle 120kg,,,,
Karakus,Ayhan,165,55,Turkey,TUR,M,Wrestling,Men's Greco-Roman 55kg,,,,
Eltrabily,Abdelrahman,190,120,Egypt,EGY,M,Wrestling,Men's Greco-Roman 120kg,,,,
Marsagishvili,Dato,186,84,Georgia,GEO,M,Wrestling,Men's Freestyle 84kg,,,,
Kobonov,Daniyar,180,74,Kyrgyzstan,KGZ,M,Wrestling,Men's Greco-Roman 74kg,,,,
Khinchegashvili,Vladimer,170,55,Georgia,GEO,M,Wrestling,Men's Freestyle 55kg,,,,
Zugaj,Nenad,177,84,Croatia,CRO,M,Wrestling,Men's Greco-Roman 84kg,,,,
Fujimura,Tsutomu,174,66,Japan,JPN,M,Wrestling,Men's Greco-Roman 66kg,,,,
Guenot,Christophe,178,74,France,FRA,M,Wrestling,Men's Greco-Roman 74kg,,,,
Baroev,Khasan,188,120,Russian Federation,RUS,M,Wrestling,Men's Greco-Roman 120kg,,,,
Nyblom,Haakan Erik,160,55,Denmark,DEN,M,Wrestling,Men's Greco-Roman 55kg,,,,
Ouechtati,Bilel,172,74,Tunisia,TUN,M,Wrestling,Men's Freestyle 74kg,,,,
Grigorjeva,Anastasija,169,62,Latvia,LAT,W,Wrestling,Women's Freestyle 63kg,,,,
Lester,Justin Dashaun,170,73,Team USA,USA,M,Wrestling,Men's Greco-Roman 66kg,,,,
Andrades Mendoza,Marcia Yuleisi,165,55,Venezuela,VEN,W,Wrestling,Women's Freestyle 55kg,,,,
Iskandari,Rustam,176,96,Tajikistan,TJK,M,Wrestling,Men's Freestyle 96kg,,,,
Ahmed,Abdou Omar Abdou,172,66,Egypt,EGY,M,Wrestling,Men's Freestyle 66kg,,,,
Urishev,Anzor,177,84,Russian Federation,RUS,M,Wrestling,Men's Freestyle 84kg,,,,
Rivas Espinoza,Wuileixis de Jesus,165,60,Venezuela,VEN,M,Wrestling,Men's Greco-Roman 66kg,,,,
Salman,Ali Nadhim,190,120,Iraq,IRQ,M,Wrestling,Men's Greco-Roman 120kg,,,,
Butkevych,Olga,160,60,Team GB,GBR,W,Wrestling,Women's Freestyle 55kg,,,,
