Second name,First name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events,var10,var11,var12,var13
Soeroredjo,Virgil,173,78,Suriname,SUR,M,Badminton,Men's Singles,,,,
Montero,Victoria,166,64,Mexico,MEX,W,Badminton,Women's Singles,,,,
Jayasinghe,Thilini,164,58,Sri Lanka,SRI,W,Badminton,Women's Singles,,,,
Abian,Pablo,177,78,Spain,ESP,M,Badminton,Men's Singles,,,,
Warfe,Glenn,181,72,Australian Olympic Team,AUS,M,Badminton,Men's Doubles,,,,
Gavnholt,Kristina,177,69,Czech Republic,CZE,W,Badminton,Women's Singles,,,,
Fang,Chieh Min,175,72,Chinese Taipei,TPE,M,Badminton,Men's Doubles,,,,
Allegrini,Agnese,162,57,Italy,ITA,W,Badminton,Women's Singles,,,,
Chai,Biao,184,70,China,CHN,M,Badminton,Men's Doubles,,,,
Sung,Ji Hyun,175,56,South Korea,KOR,W,Badminton,Women's Singles,,,,
Fu,Haifeng,181,77,China,CHN,M,Badminton,Men's Doubles,,,,
Ma,Jin,165,61,China,CHN,W,Badminton,Mixed Doubles,,,,
Tan,Lianne,160,57,Belgium,BEL,W,Badminton,Women's Singles,,,,
Fasungova,Monika,163,55,Slovakia,SVK,W,Badminton,Women's Singles,,,,
Sozonov,Ivan,180,80,Russian Federation,RUS,M,Badminton,Men's Doubles,,,,
Pedersen,Christinna,178,71,Denmark,DEN,W,Badminton,Women's Doubles,Mixed Doubles,,,
Bankier,Imogen,167,65,Team GB,GBR,W,Badminton,Mixed Doubles,,,,
Tvrdy,Maja,170,59,Slovenia,SLO,W,Badminton,Women's Singles,,,,
Rasheed,Mohamed Ajfan,165,55,Maldives,MDV,M,Badminton,Men's Singles,,,,
Septano,Bona,171,63,Indonesia,INA,M,Badminton,Men's Doubles,,,,
Adcock,Chris,183,80,Team GB,GBR,M,Badminton,Mixed Doubles,,,,
Ouseph,Rajiv,189,82,Team GB,GBR,M,Badminton,Men's Singles,,,,
Egelstaff,Susan,168,62,Team GB,GBR,W,Badminton,Women's Singles,,,,
