Second name,First name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events,var10,var11,var12,var13
Hladikova,Aneta,171,62,Czech Republic,CZE,W,Cycling - BMX,Women's BMX,,,,
Yamamoto,Kohei,182,69,Japan,JPN,M,Cycling - Mountain Bike,Men's Mountain Bike,,,,
Rodas Ochoa,Manuel,172,68,Guatemala,GUA,M,Cycling - Road,Men's Road Race,,,,
Baier,Maik,180,91,Germany,GER,M,Cycling - BMX,Men's BMX,,,,
Drexel,Ingrid,173,62,Mexico,MEX,W,Cycling - Road,Women's Road Race,,,,
Cooke,Nicole,167,58,Team GB,GBR,W,Cycling - Road,Women's Road Race,,,,
Johansson,Emma,167,58,Sweden,SWE,W,Cycling - Road,Women's Individual Time Trial,Women's Road Race,,,
Choi,Ki Ho,173,59,Hong Kong,HKG,M,Cycling - Track,Men's Omnium,Men's Road Race,,,
Houvenaghel,Wendy,176,60,Team GB,GBR,W,Cycling - Track,Women's Team Pursuit,,,,
Park,Keon Woo,173,65,South Korea,KOR,M,Cycling - Track,Men's Team Pursuit,,,,
Varnish,Jess,167,69,Team GB,GBR,W,Cycling - Track,Women's Team Sprint,Women's Sprint,Women's Keirin,,
Oquendo Zabala,Carlos Mario,175,81,Colombia,COL,M,Cycling - BMX,Men's BMX,,,,
Henderson,Greg,180,74,New Zealand,NZL,M,Cycling - Road,Men's Road Race,,,,
Boom,Lars,191,81,Netherlands,NED,M,Cycling - Road,Men's Road Race,Men's Individual Time Trial,,,
Falla Buchely,Emilio Andres,172,60,Ecuador,ECU,M,Cycling - BMX,Men's BMX,,,,
Hutarovich,Yauheni,179,71,Belarus,BLR,M,Cycling - Road,Men's Road Race,,,,
De Vecchi,de VECCHI Manuel,182,91,Italy,ITA,M,Cycling - BMX,Men's BMX,,,,
Vos,Marianne,169,52,Netherlands,NED,W,Cycling - Road,Women's Individual Time Trial,Women's Road Race,,,
Armstrong,Kristin,173,58,Team USA,USA,W,Cycling - Road,Women's Individual Time Trial,Women's Road Race,,,
