Players,Height,Weight,DOB,Birthplace,,Height in CM,Weight in grams ,weight in kg
"Adamonis, Brad¾","6'2""",215 lbs,1/16/73,"Providence , USA",,187.96,97522.35955,97.52235955
"Adams, Blake¾","6'3""",205 lbs,8/27/75,"Bartlesville , USA",,190.5,92986.43585,92.98643585
"Adams III, Frank¾","5'7""",165 lbs,5/27/79,USA,,170.18,74842.74105,74.84274105
"Affrunti, Joe¾","5'7""",155 lbs,8/1/81,"Chicago , USA",,170.18,70306.81735,70.30681735
"Agee, Brian¾","6'2""",168 lbs,,"Roanoke , USA",,187.96,76203.51816,76.20351816
"Aguilar, Felipe¾","5'7""",159 lbs,11/7/74,"Valdivia , CHL",,170.18,72121.18683,72.12118683
"Aiken, Thomas¾","5'10""",150 lbs,7/16/83,"Johannesburg , ZAF",,177.8,68038.8555,68.0388555
"Aldridge, Tyler¾","6'0""",710 lbs,9/2/84,"Caldwell , USA",,182.88,322050.5827,322.0505827
"Alker, Steven¾","5'11""",145 lbs,7/28/71,"Hamilton , NZL",,180.34,65770.89365,65.77089365
"Allan, Steve¾","5'9""",170 lbs,10/18/73,"Melbourne , AUS",,175.26,77110.7029,77.1107029
"Allen, Michael¾","6'0""",195 lbs,1/31/59,"San Mateo , USA",,182.88,88450.51215,88.45051215
"Allenby, Robert¾","6'1""",185 lbs,7/12/71,"Melbourne , AUS",,185.42,83914.58845,83.91458845
"Allred, Jason¾","6'2""",175 lbs,4/6/80,"Ashland , USA",,187.96,79378.66475,79.37866475
"Alverio, Max¾","5'8""",155 lbs,5/8/85,"Hamacao , PRI",,172.72,70306.81735,70.30681735
"Ames, Stephen¾","6'1""",165 lbs,4/28/64,"San Fernando , TTO",,185.42,74842.74105,74.84274105
"An, Byeong-Hun¾","6'1""",209 lbs,9/17/91,"Seoul , KOR",,185.42,94800.80533,94.80080533
"Anderson, Mark¾","6'1""",180 lbs,2/14/86,"Annapolis , USA",,185.42,81646.6266,81.6466266
"Andersson Hed, Fredrik¾","6'2""",170 lbs,1/20/72,"Halmstad , SWE",,187.96,77110.7029,77.1107029
"Andrade, Billy¾","5'9""",160 lbs,1/25/64,"Bristol , USA",,175.26,72574.7792,72.5747792
"Aphibarnrat, Kiradech¾","5'8""",228 lbs,7/23/89,"Bangkok , THA",,172.72,103419.0604,103.4190604
"Appleby, Stuart¾","6'1""",195 lbs,5/1/71,"Cohuna , AUS",,185.42,88450.51215,88.45051215
"Aragon, Alex¾","6'0""",185 lbs,3/11/79,"Mexico City , MEX",,182.88,83914.58845,83.91458845
"Armour, Ryan¾","5'9""",160 lbs,2/27/76,"Akron , USA",,175.26,72574.7792,72.5747792
"Armour III, Tommy¾","6'2""",190 lbs,10/8/59,"Denver , USA",,187.96,86182.5503,86.1825503
"Arnold, Scott¾","6'1""",143 lbs,9/13/85,"Sydney , AUS",,185.42,64863.70891,64.86370891
"Arp, Riley¾","5'10""",155 lbs,,"Missoula , USA",,177.8,70306.81735,70.30681735
"Atwal, Arjun¾","6'1""",185 lbs,3/20/73,"Asansol , IND",,185.42,83914.58845,83.91458845
"Austin, Woody¾","6'0""",190 lbs,1/27/64,"Tampa , USA",,182.88,86182.5503,86.1825503
"Axley, Eric¾","6'0""",185 lbs,4/22/74,"Athens , USA",,182.88,83914.58845,83.91458845
"Azinger, Paul¾","6'2""",175 lbs,1/6/60,"Holyoke , USA",,187.96,79378.66475,79.37866475
