player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams
1,11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana,Active,175.26,69853.22498
2,23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA,Active,177.8,68038.8555
3,NA,D,Adaílton,Chicago Fire,31,6' 3'',180,Brazil,Active,190.5,81646.6266
4,3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England,Active,175.26,74842.74105
5,9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria,Active,193.04,83914.58845
6,13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada,Active,185.42,77110.7029
7,NA,M,Fatai Alashe,,21,6',170,USA,Active,182.88,77110.7029
8,12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA,Active,185.42,74842.74105
9,7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA,Active,180.34,72574.7792
10,6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba,Active,180.34,74842.74105
11,30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA,Active,172.72,72574.7792
12,24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA,Active,175.26,81646.6266
13,NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA,Active,182.88,83914.58845
14,NA,M,Bernardo Añor,Sporting Kansas City,26,5' 8'',158,Venezuela,Active,172.72,71667.59446
15,34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina,Active,167.64,67585.26313
16,5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain,Active,185.42,79378.66475
17,8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA,Active,180.34,72574.7792
18,NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica,Active,175.26,68038.8555
19,26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA,Active,165.1,69853.22498
20,NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia,Active,180.34,74842.74105
21,24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA,Active,187.96,86182.5503
22,42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda,Active,177.8,72574.7792
23,NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco,Active,180.34,76657.11053
24,26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA,Active,180.34,74842.74105
25,25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA,Active,185.42,79378.66475
26,23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England,Active,180.34,82100.21897
27,NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina,Active,172.72,77564.29527
28,19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA,Active,180.34,83914.58845
29,21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA,Active,177.8,77110.7029
30,21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA,Active,172.72,65770.89365
31,5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA,Active,180.34,74842.74105
32,29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA,Active,198.12,92532.84348
33,33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA,Active,177.8,77110.7029
34,8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada,Active,175.26,74842.74105
35,27,M,Louis Béland-Goyette,Montreal Impact,19,5' 8'',140,Canada,Active,172.72,63502.9318
36,2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA,Active,172.72,68038.8555
37,12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA,Active,187.96,98429.54429
38,5,D,Víctor Bernárdez,San Jose Earthquakes,32,6' 2'',190,Honduras,Active,187.96,86182.5503
39,12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA,Active,190.5,92986.43585
40,8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada,Active,175.26,77110.7029
41,4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA,Active,187.96,85275.36556
42,5,D,Matt Besler,Sporting Kansas City,27,6',170,USA,Active,182.88,77110.7029
43,NA,M,Nick Besler,,21,6' 1'',165,USA,Active,185.42,74842.74105
44,16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina,Active,180.34,77564.29527
45,15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA,Active,187.96,81646.6266
46,1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica,Active,193.04,79378.66475
47,28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA,Active,180.34,73481.96394
48,NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA,Active,187.96,79378.66475
49,32,D,Bobby Boswell,D.C. United,31,6' 2'',185,USA,Active,187.96,83914.58845
50,21,M,Rubén Bover,New York Red Bulls,22,5' 7'',144,Spain,Active,170.18,65317.30128
51,NA,F,Tristan Bowen,New England Revolution,23,5' 11'',170,USA,Active,180.34,77110.7029
52,4,M,Michael Bradley,Toronto FC,27,6' 2'',179,USA,Active,187.96,81193.03423
53,NA,D,Jeb Brovsky,New York City FC,26,6' 1'',170,USA,Active,185.42,77110.7029
54,26,F,Deshorn Brown,Colorado Rapids,24,6' 2'',170,Jamaica,Active,187.96,77110.7029
55,12,F,Will Bruin,Houston Dynamo,25,6' 2'',194,USA,Active,187.96,87996.91978
56,10,F,Teal Bunbury,New England Revolution,24,6' 2'',175,Canada,Active,187.96,79378.66475
57,4,D,Marc Burch,Colorado Rapids,30,6' 1'',180,USA,Active,185.42,81646.6266
58,NA,D,Bobby Burling,Colorado Rapids,30,6' 5'',195,USA,Active,195.58,88450.51215
59,30,G,Evan Bush,Montreal Impact,28,6' 1'',186,USA,Active,185.42,84368.18082
60,23,M,Michael Bustamante,New York Red Bulls,25,5' 9'',160,Colombia,Active,175.26,72574.7792
61,NA,D,Victor Cabrera,Montreal Impact,21,6',165,Argentina,Active,182.88,74842.74105
62,17,M,Tim Cahill,New York Red Bulls,35,5' 10'',150,Australia,Active,177.8,68038.8555
63,6,M,Scott Caldwell,New England Revolution,23,5' 8'',150,USA,Active,172.72,68038.8555
64,13,D,Steven Caldwell,Toronto FC,34,6' 2'',195,Scotland,Active,187.96,88450.51215
65,NA,F,Caleb Calvert,Colorado Rapids,18,6' 2'',160,USA,Active,187.96,72574.7792
66,6,D,Hassoun Camara,Montreal Impact,28,6' 2'',190,France,Active,187.96,86182.5503
67,44,GK,Marco Carducci,Vancouver Whitecaps FC,18,6' 1'',185,Canada,Active,185.42,83914.58845
68,7,M,Brian Carroll,Philadelphia Union,33,5' 10'',155,USA,Active,177.8,70306.81735
69,NA,M,Tony Cascio,Orlando City SC,24,6',170,USA,Active,182.88,77110.7029
70,24,GK,Santiago Castaño,New York Red Bulls,19,6' 2'',184,USA,Active,187.96,83460.99608
71,11,F,Fabián Castillo,FC Dallas,22,5' 8'',150,Colombia,Active,172.72,68038.8555
72,7,M,Cordell Cato,San Jose Earthquakes,22,5' 9'',150,Trinidad and Tobago,Active,175.26,68038.8555
73,17,M,Darwin Cerén,Orlando City SC,25,5' 7'',165,El Salvador,Active,170.18,74842.74105
74,21,M,Diego Chara,Portland Timbers,28,5' 8'',150,Colombia,Active,172.72,68038.8555
75,6,M,Ian Christianson,New York Red Bulls,23,5' 11'',155,United States,Active,180.34,70306.81735
76,13,M,Ricardo Clark,Houston Dynamo,31,5' 10'',160,USA,Active,177.8,72574.7792
77,1,GK,Steve Clark,Columbus Crew SC,28,6' 2'',192,USA,Active,187.96,87089.73504
78,34,F,Caleb Clarke,Vancouver Whitecaps FC,21,6' 1'',165,Canada,Active,185.42,74842.74105
79,20,M,Jorge Claros,Sporting Kansas City,29,5' 9'',155,Honduras,Active,175.26,70306.81735
80,16,D,A.J. Cochran,Houston Dynamo,21,6' 3'',195,USA,Active,190.5,88450.51215
81,16,D,Greg Cochrane,Chicago Fire,24,5' 8'',140,USA,Active,172.72,63502.9318
82,30,M,Razvan Cocis,Chicago Fire,31,5' 11'',161,Romania,Active,180.34,73028.37157
83,NA,D,Aurélien Collin,Orlando City SC,28,6' 2'',169,France,Active,187.96,76657.11053
84,NA,D,Gustavo Silva Conceicao,Orlando City SC,28,6' 1'',198,Brazil,Active,185.42,89811.28926
85,33,F,Kenny Cooper,Seattle Sounders FC,30,6' 3'',210,USA,Active,190.5,95254.3977
86,NA,F,Coy Craft,FC Dallas,17,6' 2'',175,USA,Active,187.96,79378.66475
87,3,D,Warren Creavalle,Toronto FC,24,5' 11'',170,USA,Active,180.34,77110.7029
