height in cm,weight in kg
175.26,69.85322498
177.8,68.0388555
190.5,81.6466266
175.26,74.84274105
193.04,83.91458845
185.42,77.1107029
182.88,77.1107029
185.42,74.84274105
180.34,72.5747792
180.34,74.84274105
172.72,72.5747792
175.26,81.6466266
182.88,83.91458845
172.72,71.66759446
167.64,67.58526313
185.42,79.37866475
180.34,72.5747792
175.26,68.0388555
165.1,69.85322498
180.34,74.84274105
187.96,86.1825503
177.8,72.5747792
180.34,76.65711053
180.34,74.84274105
185.42,79.37866475
180.34,82.10021897
172.72,77.56429527
180.34,83.91458845
177.8,77.1107029
172.72,65.77089365
180.34,74.84274105
198.12,92.53284348
177.8,77.1107029
175.26,74.84274105
172.72,63.5029318
172.72,68.0388555
187.96,98.42954429
187.96,86.1825503
190.5,92.98643585
175.26,77.1107029
187.96,85.27536556
182.88,77.1107029
185.42,74.84274105
180.34,77.56429527
187.96,81.6466266
193.04,79.37866475
180.34,73.48196394
187.96,79.37866475
187.96,83.91458845
170.18,65.31730128
180.34,77.1107029
187.96,81.19303423
185.42,77.1107029
187.96,77.1107029
187.96,87.99691978
187.96,79.37866475
185.42,81.6466266
195.58,88.45051215
185.42,84.36818082
175.26,72.5747792
182.88,74.84274105
177.8,68.0388555
172.72,68.0388555
187.96,88.45051215
187.96,72.5747792
187.96,86.1825503
185.42,83.91458845
177.8,70.30681735
182.88,77.1107029
187.96,83.46099608
172.72,68.0388555
175.26,68.0388555
170.18,74.84274105
172.72,68.0388555
180.34,70.30681735
177.8,72.5747792
187.96,87.08973504
185.42,74.84274105
175.26,70.30681735
190.5,88.45051215
172.72,63.5029318
180.34,73.02837157
187.96,76.65711053
185.42,89.81128926
190.5,95.2543977
187.96,79.37866475
180.34,77.1107029
180.34,90.26488163
177.8,74.84274105
172.72,77.1107029
177.8,79.37866475
180.34,77.1107029
182.88,74.84274105
190.5,89.81128926
170.18,64.86370891
175.26,68.0388555
177.8,77.1107029
175.26,66.22448602
185.42,77.1107029
190.5,83.91458845
170.18,62.14215469
182.88,96.61517481
167.64,63.5029318
190.5,81.6466266
177.8,72.5747792
182.88,81.6466266
185.42,72.5747792
187.96,78.01788764
175.26,68.94604024
175.26,72.5747792
185.42,79.37866475
177.8,73.93555631
177.8,68.0388555
175.26,81.6466266
193.04,88.45051215
182.88,77.1107029
182.88,77.1107029
175.26,72.5747792
170.18,70.30681735
175.26,72.5747792
180.34,77.1107029
172.72,72.5747792
170.18,68.0388555
185.42,72.5747792
170.18,67.58526313
172.72,63.5029318
180.34,74.84274105
175.26,72.5747792
185.42,74.84274105
190.5,77.1107029
172.72,72.5747792
172.72,63.5029318
175.26,74.84274105
175.26,74.84274105
175.26,78.92507238
175.26,78.01788764
182.88,79.37866475
182.88,74.84274105
175.26,72.5747792
177.8,72.5747792
190.5,88.45051215
175.26,77.1107029
175.26,68.49244787
180.34,74.84274105
175.26,63.5029318
175.26,68.0388555
182.88,79.37866475
165.1,63.5029318
180.34,79.37866475
170.18,74.84274105
185.42,72.5747792
187.96,77.1107029
177.8,70.30681735
177.8,72.5747792
182.88,65.77089365
175.26,70.30681735
187.96,81.6466266
185.42,78.92507238
195.58,92.98643585
193.04,81.6466266
193.04,81.6466266
190.5,86.1825503
170.18,72.5747792
185.42,79.37866475
185.42,87.54332741
182.88,71.21400209
177.8,80.28584949
193.04,97.52235955
185.42,83.91458845
190.5,102.0582833
182.88,87.99691978
185.42,86.1825503
182.88,77.1107029
190.5,83.91458845
180.34,77.1107029
180.34,72.5747792
193.04,83.91458845
177.8,77.1107029
182.88,70.30681735
172.72,74.84274105
182.88,72.5747792
185.42,81.6466266
172.72,70.30681735
193.04,95.2543977
177.8,81.6466266
185.42,78.01788764
175.26,69.85322498
190.5,88.45051215
180.34,74.84274105
185.42,81.6466266
187.96,83.91458845
190.5,83.91458845
180.34,72.5747792
185.42,74.84274105
180.34,74.84274105
182.88,83.91458845
175.26,63.5029318
190.5,92.07925111
182.88,81.6466266
177.8,72.5747792
190.5,98.42954429
182.88,81.6466266
182.88,77.1107029
172.72,72.5747792
177.8,79.37866475
180.34,68.0388555
172.72,65.77089365
170.18,63.5029318
185.42,82.10021897
190.5,84.36818082
193.04,86.1825503
175.26,72.5747792
182.88,83.91458845
180.34,69.39963261
185.42,77.1107029
185.42,90.718474
182.88,72.5747792
185.42,78.01788764
198.12,102.0582833
185.42,81.6466266
177.8,68.0388555
182.88,79.37866475
195.58,103.4190604
175.26,72.5747792
185.42,79.37866475
177.8,70.30681735
185.42,73.02837157
195.58,95.2543977
190.5,81.6466266
175.26,69.85322498
170.18,65.77089365
172.72,73.48196394
190.5,86.1825503
185.42,79.37866475
187.96,86.1825503
182.88,70.30681735
185.42,79.37866475
185.42,86.1825503
187.96,83.91458845
175.26,65.77089365
193.04,79.37866475
185.42,78.47148001
172.72,72.5747792
182.88,87.08973504
175.26,70.30681735
177.8,77.1107029
190.5,79.37866475
177.8,76.20351816
177.8,71.66759446
182.88,79.83225712
177.8,72.5747792
180.34,74.84274105
185.42,82.10021897
175.26,63.5029318
175.26,78.47148001
177.8,72.5747792
185.42,72.5747792
187.96,79.37866475
187.96,88.90410452
187.96,83.91458845
193.04,86.1825503
187.96,88.45051215
175.26,68.0388555
170.18,69.85322498
177.8,70.30681735
190.5,79.83225712
175.26,68.0388555
177.8,68.49244787
175.26,77.1107029
193.04,83.91458845
180.34,73.93555631
165.1,68.0388555
185.42,86.1825503
187.96,87.99691978
185.42,74.84274105
187.96,88.45051215
177.8,73.93555631
