Second name,First name,Height(cm),Weight(kg),Country/Team,Country code,Gender,Sport/Discipline,Events,var10,var11,var12,var13
Bolshakov,Sergey,190,90,Russian Federation,RUS,M,Swimming,Men's Marathon 10km,,,,
Niyomugabo,Jackson,184,71,Rwanda,RWA,M,Swimming,Men's 50m Freestyle,,,,
Kulkina,Anna,167,52,Kazakhstan,KAZ,W,Synchronised Swimming,Women's Duets,,,,
Degtyarev,Egor,202,96,Russian Federation,RUS,M,Swimming,Men's 400m Freestyle,,,,
Cheverton,Samantha,160,48,Canada,CAN,W,Swimming,Women's 200m Freestyle,Women's 4 x 200m Freestyle Relay,Women's 4 x 100m Freestyle Relay,,
Takano,Aya,164,54,Japan,JPN,W,Swimming,Women's 4 x 200m Freestyle Relay,Women's 4 x 100m Freestyle Relay,Women's 400m Freestyle,,
Bernardova,Sona,168,55,Czech Republic,CZE,W,Synchronised Swimming,Women's Duets,,,,
Zevina,Daryna,182,64,Ukraine,UKR,W,Swimming,Women's 4 x 200m Freestyle Relay,Women's 100m Backstroke,Women's 200m Backstroke,,
Lebherz,Yannick,194,85,Germany,GER,M,Swimming,Men's 400m Individual Medley,Men's 200m Backstroke,,,
Murphy,Grainne,171,71,Ireland,IRL,W,Swimming,Women's 800m Freestyle,Women's 400m Individual Medley,Women's 200m Freestyle,Women's 400m Freestyle,
Lazuka,Yevgeniy,189,81,Azerbaijan,AZE,M,Swimming,Men's 100m Butterfly,,,,
Baek,Il Joo,170,66,South Korea,KOR,W,Swimming,Women's 200m Freestyle,,,,
Ouedraogo,Adama,177,72,Burkina Faso,BUR,M,Swimming,Men's 50m Freestyle,,,,
Snyders,Glenn,179,81,New Zealand,NZL,M,Swimming,Men's 4 x 100m Medley Relay,Men's 200m Breaststroke,Men's 100m Breaststroke,,
Liu,Zige,181,70,China,CHN,W,Swimming,Women's 200m Butterfly,,,,
Jumah,Bayan,184,75,Syria,SYR,W,Swimming,Women's 100m Freestyle,,,,
Hatamkhanova,Oksana,161,51,Azerbaijan,AZE,W,Swimming,Women's 100m Breaststroke,,,,
Fildebrandt,Christoph,193,78,Germany,GER,M,Swimming,Men's 4 x 100m Freestyle Relay,,,,
Andreeva,Viktoriia,189,76,Russian Federation,RUS,W,Swimming,Women's 4 x 200m Freestyle Relay,Women's 4 x 100m Freestyle Relay,,,
Andryei,Tamir,181,80,Mongolia,MGL,M,Swimming,Men's 100m Freestyle,,,,
Md Mahfizur,Rahman,172,71,Bangladesh,BAN,M,Swimming,Men's 50m Freestyle,,,,
Chen,Zuo,186,79,China,CHN,M,Swimming,Men's 4 x 100m Freestyle Relay,,,,
Hosszu,Katinka,170,56,Hungary,HUN,W,Swimming,Women's 400m Individual Medley,Women's 200m Butterfly,Women's 200m Individual Medley,Women's 4 x 200m Freestyle Relay,
Zaiser,Lisa,174,63,Austria,AUT,W,Swimming,Women's 200m Individual Medley,,,,
Haywood,Kate,178,68,Team GB,GBR,W,Swimming,Women's 100m Breaststroke,,,,
Dunford,Jason,182,74,Kenya,KEN,M,Swimming,Men's 100m Butterfly,,,,
Roux,Jessica,168,62,South Africa,RSA,W,Swimming,Women's Marathon 10km,,,,
Renwick,Robbie,185,80,Team GB,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 200m Freestyle,Men's 4 x 100m Freestyle Relay,Men's 400m Freestyle,
Deeva,Daria,181,69,Russian Federation,RUS,W,Swimming,Women's 100m Breaststroke,Women's 4 x 100m Medley Relay,,,
Carvalho,Diogo,181,73,Portugal,POR,M,Swimming,Men's 200m Individual Medley,Men's 400m Individual Medley,,,
Izotov,Danila,193,82,Russian Federation,RUS,M,Swimming,Men's 4 x 100m Medley Relay,Men's 4 x 200m Freestyle Relay,Men's 200m Freestyle,Men's 4 x 100m Freestyle Relay,Men's 100m Freestyle
Lawrence,Micah,183,66,Team USA,USA,W,Swimming,Women's 200m Breaststroke,,,,
Toumarkin,Yakov,192,87,Israel,ISR,M,Swimming,Men's 100m Backstroke,Men's 200m Backstroke,,,
Magnussen,James,195,90,Australian Olympic Team,AUS,M,Swimming,Men's 4 x 100m Medley Relay,Men's 4 x 100m Freestyle Relay,Men's 50m Freestyle,Men's 100m Freestyle,
Krovyakov,Sergey,194,74,Turkmenistan,TKM,M,Swimming,Men's 100m Freestyle,,,,
Skelton,Katie,160,52,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
Isaac,Chloe,169,57,Canada,CAN,W,Synchronised Swimming,Women's Teams,,,,
Mcevoy,McEVOY Cameron,185,85,Australian Olympic Team,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 4 x 100m Freestyle Relay,,,
Jeong,Darae,173,64,South Korea,KOR,W,Swimming,Women's 200m Breaststroke,,,,
Pinzon Garcia,Omar,186,85,Colombia,COL,M,Swimming,Men's 200m Butterfly,Men's 100m Backstroke,Men's 200m Backstroke,,
Zhexembinova,Aigerim,164,47,Kazakhstan,KAZ,W,Synchronised Swimming,Women's Duets,,,,
Shankland,Leith,196,90,South Africa,RSA,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 4 x 100m Freestyle Relay,,,
Grandjean,Yoris,186,82,Belgium,BEL,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 4 x 100m Freestyle Relay,,,
Moore,Graeme,198,98,South Africa,RSA,M,Swimming,Men's 4 x 100m Freestyle Relay,Men's 100m Freestyle,,,
Timmers,Pieter,200,89,Belgium,BEL,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 4 x 100m Freestyle Relay,Men's 100m Freestyle,,
Perez Vertti Ferrer,Arturo,194,80,Mexico,MEX,M,Swimming,Men's 1500m Freestyle,,,,
Drakou,Theodora,169,67,Greece,GRE,W,Swimming,Women's 50m Freestyle,Women's 4 x 100m Freestyle Relay,,,
Torrez Zamora,Dalia,170,63,Nicaragua,NCA,W,Swimming,Women's 100m Butterfly,,,,
Diosdado Garcia,Nuria,169,53,Mexico,MEX,W,Synchronised Swimming,Women's Duets,,,,
Tranter,Daniel,193,80,Australian Olympic Team,AUS,M,Swimming,Men's 200m Individual Medley,Men's 400m Individual Medley,,,
Bernard,Alain,196,90,France,FRA,M,Swimming,Men's 4 x 100m Freestyle Relay,,,,
Chen,Weiwu,192,88,China,CHN,M,Swimming,Men's 4 x 100m Medley Relay,,,,
Back,Suyeon,173,61,South Korea,KOR,W,Swimming,Women's 200m Breaststroke,,,,
Maestri,Riccardo,176,72,Italy,ITA,M,Swimming,Men's 4 x 200m Freestyle Relay,,,,
Seppala,Hanna-Maria,174,59,Finland,FIN,W,Swimming,Women's 50m Freestyle,Women's 200m Freestyle,Women's 100m Freestyle,,
Povazsay,Eszter,183,74,Hungary,HUN,W,Swimming,Women's 100m Backstroke,Women's 4 x 100m Medley Relay,,,
Vreeland,Shannon,188,79,Team USA,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,,,,
Hassounah,Samar,164,48,Egypt,EGY,W,Synchronised Swimming,Women's Teams,,,,
Castel,Alexianne,180,76,France,FRA,W,Swimming,Women's 100m Backstroke,Women's 200m Backstroke,,,
Evans,Blair,175,65,Australian Olympic Team,AUS,W,Swimming,Women's 400m Individual Medley,,,,
Tchorz,Alicja,177,67,Poland,POL,W,Swimming,Women's 100m Backstroke,Women's 200m Backstroke,,,
Leclair,Stephanie,172,54,Canada,CAN,W,Synchronised Swimming,Women's Teams,,,,
Willhelm,Chloe,168,53,France,FRA,W,Synchronised Swimming,Women's Duets,,,,
Higl,Nada,173,67,Serbia,SRB,W,Swimming,Women's 200m Breaststroke,,,,
Russell,Colin,192,90,Canada,CAN,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 4 x 100m Freestyle Relay,,,
Hockin Brusquetti,Benjamin,195,90,Paraguay,PAR,M,Swimming,Men's 200m Freestyle,Men's 100m Butterfly,Men's 100m Freestyle,,
Duboscq,Hugues,191,87,France,FRA,M,Swimming,Men's 4 x 100m Medley Relay,,,,
Hall,Luke,181,85,Swaziland,SWZ,M,Swimming,Men's 50m Freestyle,,,,
Schurr Voight,Christian,173,80,Mexico,MEX,M,Swimming,Men's 200m Breaststroke,,,,
Boyle,Lauren,183,67,New Zealand,NZL,W,Swimming,Women's 800m Freestyle,Women's 200m Freestyle,Women's 4 x 200m Freestyle Relay,Women's 400m Freestyle,
Amanova,Ranohon,174,61,Uzbekistan,UZB,W,Swimming,Women's 200m Individual Medley,,,,
Lu,Ying,175,62,China,CHN,W,Swimming,Women's 4 x 100m Medley Relay,Women's 100m Butterfly,,,
Tyler,Jillian,152,65,Canada,CAN,W,Swimming,Women's 100m Breaststroke,Women's 4 x 100m Medley Relay,,,
Gyurta,Gergely,174,68,Hungary,HUN,M,Swimming,Men's 1500m Freestyle,,,,
Balmy,Coralie,180,67,France,FRA,W,Swimming,Women's 800m Freestyle,Women's 4 x 200m Freestyle Relay,Women's 400m Freestyle,,
Lacroix,Audrey,163,53,Canada,CAN,W,Swimming,Women's 200m Butterfly,,,,
Fang,Yanqiao,173,69,China,CHN,W,Swimming,Women's Marathon 10km,,,,
Larson,Breeja,183,73,Team USA,USA,W,Swimming,Women's 100m Breaststroke,Women's 4 x 100m Medley Relay,,,
Poewe,Sarah,175,71,Germany,GER,W,Swimming,Women's 100m Breaststroke,,,,
Faulkner,Ellie,165,55,Team GB,GBR,W,Swimming,Women's 800m Freestyle,Women's 4 x 200m Freestyle Relay,,,
Mankoc,Peter,192,88,Slovenia,SLO,M,Swimming,Men's 100m Butterfly,,,,
Fraser,Brett,188,84,Cayman Islands,CAY,M,Swimming,Men's 200m Freestyle,Men's 50m Freestyle,Men's 100m Freestyle,,
Anderson,Alyssa,173,64,Team USA,USA,W,Swimming,Women's 4 x 200m Freestyle Relay,,,,
Almeida,Carlos,182,87,Portugal,POR,M,Swimming,Men's 100m Breaststroke,,,,
Hepler,Ann-Marie,167,68,Marshall Islands,MHL,W,Swimming,Women's 50m Freestyle,,,,
Au,Hoi Shun Stephanie,171,60,Hong Kong,HKG,W,Swimming,Women's 100m Backstroke,Women's 200m Backstroke,,,
Li,Xiayan,199,98,China,CHN,M,Swimming,Men's 100m Breaststroke,,,,
Baker,Yvette,170,55,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
Payne,Keri-Anne,175,66,Team GB,GBR,W,Swimming,Women's Marathon 10km,,,,
Biagioli,Cecilia,165,52,Argentina,ARG,W,Swimming,Women's 800m Freestyle,Women's Marathon 10km,,,
Alibaba,Khalid,165,60,Bahrain,BRN,M,Swimming,Men's 100m Butterfly,,,,
Hsu,Chi-Chieh,177,72,Chinese Taipei,TPE,M,Swimming,Men's 200m Butterfly,,,,
Fagundez,Gabriella,170,60,Sweden,SWE,W,Swimming,Women's 4 x 100m Medley Relay,Women's 4 x 100m Freestyle Relay,,,
Johansson,Jennie,185,72,Sweden,SWE,W,Swimming,Women's 100m Breaststroke,,,,
Gebremedhin,Yanet Seyoum,164,56,Ethiopia,ETH,W,Swimming,Women's 50m Freestyle,,,,
Cieslak,Marcin,193,85,Poland,POL,M,Swimming,Men's 200m Butterfly,Men's 200m Individual Medley,,,
Simpson,Esau,185,75,Grenada,GRN,M,Swimming,Men's 100m Freestyle,,,,
Badillo Diaz,Concepcion,171,62,Spain,ESP,W,Swimming,Women's 100m Breaststroke,,,,
Louw,Gideon,194,93,South Africa,RSA,M,Swimming,Men's 4 x 100m Medley Relay,Men's 4 x 100m Freestyle Relay,Men's 50m Freestyle,Men's 100m Freestyle,
Beresnyeva,Olga,174,72,Ukraine,UKR,W,Swimming,Women's Marathon 10km,,,,
Skvortsov,Nikolay,180,78,Russian Federation,RUS,M,Swimming,Men's 4 x 100m Medley Relay,Men's 200m Butterfly,Men's 100m Butterfly,,
Davies,Georgia,175,60,Team GB,GBR,W,Swimming,Women's 100m Backstroke,Women's 4 x 100m Medley Relay,,,
Grechin,Andrey,198,94,Russian Federation,RUS,M,Swimming,Men's 4 x 100m Freestyle Relay,Men's 50m Freestyle,,,
Camara,Dede,159,61,Guinea,GUI,W,Swimming,Women's 100m Breaststroke,,,,
Binobagira,Beni,176,69,Burundi,BDI,M,Swimming,Men's 100m Freestyle,,,,
Mangroo,Shane,170,80,Seychelles,SEY,M,Swimming,Men's 100m Freestyle,,,,
Ong,Mylene,169,55,Singapore,SIN,W,Swimming,Women's 100m Freestyle,,,,
Hazboun,Sabine,165,58,Palestine,PLE,W,Swimming,Women's 50m Freestyle,,,,
Nguyen,Thi Anh Vien,165,58,Vietnam,VIE,W,Swimming,Women's 400m Individual Medley,Women's 200m Backstroke,,,
Tini,Clelia,165,57,San Marino,SMR,W,Swimming,Women's 100m Freestyle,,,,
Jackson,Joanne,185,76,Team GB,GBR,W,Swimming,Women's 4 x 200m Freestyle Relay,Women's 4 x 100m Freestyle Relay,Women's 400m Freestyle,,
Burch,Roy,185,80,Bermuda,BER,M,Swimming,Men's 50m Freestyle,,,,
Fonteno,Megan,163,61,American Samoa,ASA,W,Swimming,Women's 100m Freestyle,,,,
Ally,Bradley,183,73,Barbados,BAR,M,Swimming,Men's 200m Individual Medley,Men's 100m Backstroke,Men's 400m Individual Medley,,
Turner,Rebecca,153,68,Team GB,GBR,W,Swimming,Women's 200m Freestyle,Women's 4 x 200m Freestyle Relay,Women's 4 x 100m Freestyle Relay,,
Randall,Asha,178,52,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
Lim,Anderson Chee Wei,166,62,Brunei Darussalam,BRU,M,Swimming,Men's 200m Freestyle,,,,
Roberts,Niall,178,75,Guyana,GUY,M,Swimming,Men's 100m Freestyle,,,,
Moshi,Magdalena,163,52,Tanzania,TAN,W,Swimming,Women's 100m Freestyle,,,,
Lunkuse,Jamila,153,60,Uganda,UGA,W,Swimming,Women's 50m Freestyle,,,,
Dawkins,Katie,175,67,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
Spofforth,Gemma,183,85,Team GB,GBR,W,Swimming,Women's 100m Backstroke,,,,
Rock,Michael,180,78,Team GB,GBR,M,Swimming,Men's 4 x 100m Medley Relay,Men's 100m Butterfly,,,
Tafatatha,Joyce,168,68,Malawi,MAW,W,Swimming,Women's 50m Freestyle,,,,
Randall,Jenna,173,55,Team GB,GBR,W,Synchronised Swimming,Women's Duets,Women's Teams,,,
Gibbons,Craig,178,84,Team GB,GBR,M,Swimming,Men's 4 x 100m Freestyle Relay,,,,
Jamieson,Michael,186,81,Team GB,GBR,M,Swimming,Men's 4 x 100m Medley Relay,Men's 200m Breaststroke,Men's 100m Breaststroke,,
Burnett,Simon,189,82,Team GB,GBR,M,Swimming,Men's 4 x 100m Freestyle Relay,,,,
Fogg,Daniel,179,74,Team GB,GBR,M,Swimming,Men's 1500m Freestyle,Men's Marathon 10km,,,
Hassler,Julia,178,73,Liechtenstein,LIE,W,Swimming,Women's 800m Freestyle,Women's 400m Freestyle,,,
Simmonds,Lizzie,171,60,Team GB,GBR,W,Swimming,Women's 4 x 100m Medley Relay,Women's 200m Backstroke,,,
Benson,Craig,183,76,Team GB,GBR,M,Swimming,Men's 100m Breaststroke,,,,
Halsall,Fran,172,59,Team GB,GBR,W,Swimming,Women's 50m Freestyle,Women's 4 x 100m Freestyle Relay,Women's 100m Butterfly,Women's 100m Freestyle,
Tancock,Liam,183,85,Team GB,GBR,M,Swimming,Men's 100m Backstroke,,,,
Bale,Rob,174,69,Team GB,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,,,,
Willis,Andrew,188,85,Team GB,GBR,M,Swimming,Men's 4 x 100m Medley Relay,Men's 200m Breaststroke,,,
Lloyd,Jess,178,80,Team GB,GBR,W,Swimming,Women's 4 x 100m Freestyle Relay,,,,
Tadd,Stacey,181,74,Team GB,GBR,W,Swimming,Women's 4 x 100m Medley Relay,Women's 200m Breaststroke,,,
Miley,Hannah,166,53,Team GB,GBR,W,Swimming,Women's 400m Individual Medley,Women's 200m Individual Medley,Women's 4 x 200m Freestyle Relay,,
Lucass,Vicki,170,63,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
WALKER-HEBBORN,Chris,184,80,Team GB,GBR,M,Swimming,Men's 4 x 100m Medley Relay,Men's 100m Backstroke,Men's 200m Backstroke,,
Allen,Sophie,170,65,Team GB,GBR,W,Swimming,Women's 200m Individual Medley,Women's 4 x 100m Medley Relay,,,
Federici,Olivia,168,54,Team GB,GBR,W,Synchronised Swimming,Women's Duets,Women's Teams,,,
Adlington,Rebecca,179,70,Team GB,GBR,W,Swimming,Women's 800m Freestyle,Women's 4 x 200m Freestyle Relay,Women's 400m Freestyle,,
Goddard,James,183,82,Team GB,GBR,M,Swimming,Men's 200m Individual Medley,,,,
Carry,David,184,75,Team GB,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 400m Freestyle,,,
Oconnor,Siobhan-Marie,173,60,Team GB,GBR,W,Swimming,Women's 100m Breaststroke,,,,
DISNEY-MAY,James,192,78,Team GB,GBR,M,Swimming,Men's 4 x 100m Freestyle Relay,,,,
Lowe,Jemma,171,58,Team GB,GBR,W,Swimming,Women's 200m Butterfly,Women's 4 x 100m Medley Relay,,,
Turner,Grant,193,86,Team GB,GBR,M,Swimming,Men's 4 x 100m Medley Relay,Men's 4 x 100m Freestyle Relay,,,
James,Antony,180,75,Team GB,GBR,M,Swimming,Men's 4 x 100m Medley Relay,Men's 100m Butterfly,,,
Roebuck,Joe,188,80,Team GB,GBR,M,Swimming,Men's 200m Butterfly,Men's 200m Individual Medley,Men's 400m Individual Medley,,
Mcclatchey,McCLATCHEY Caitlin,170,57,Team GB,GBR,W,Swimming,Women's 200m Freestyle,Women's 4 x 200m Freestyle Relay,Women's 4 x 100m Freestyle Relay,,
Brown,Adam,196,95,Team GB,GBR,M,Swimming,Men's 4 x 100m Freestyle Relay,Men's 50m Freestyle,Men's 100m Freestyle,,
Smith,Amy,172,59,Team GB,GBR,W,Swimming,Women's 50m Freestyle,Women's 4 x 100m Medley Relay,Women's 4 x 100m Freestyle Relay,Women's 100m Freestyle,
Davies,David,190,84,Team GB,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 1500m Freestyle,,,
Davenport,Ross,187,76,Team GB,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,,,,
Lloyd,Ieuan,193,83,Team GB,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,Men's 200m Freestyle,,,
Pavoni,Roberto,176,71,Team GB,GBR,M,Swimming,Men's 200m Butterfly,Men's 400m Individual Medley,,,
Proud,Stephanie,169,65,Team GB,GBR,W,Swimming,Women's 200m Backstroke,,,,
Clark,Katie,168,52,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
Gandy,Ellen,169,62,Team GB,GBR,W,Swimming,Women's 200m Butterfly,Women's 100m Butterfly,,,
Willmott,Aimee,172,56,Team GB,GBR,W,Swimming,Women's 400m Individual Medley,,,,
Loughran,Marco,186,75,Team GB,GBR,M,Swimming,Men's 200m Backstroke,,,,
Knobbs,Jennifer,155,49,Team GB,GBR,W,Synchronised Swimming,Women's Teams,,,,
