,,,,Class,Property
"735454625.94000,735454625.94000,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/wikiPageRevisionID",735454625.9,735454625.9,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/wikiPageRevisionID
"9179699.52000,9179699.52000,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/wikiPageID",9179699.52,9179699.52,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/wikiPageID,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/wikiPageID
"283796065265021120.00000,283796065265021120.00000,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/bwfId",2.83796E+17,2.83796E+17,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/bwfId,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/property/bwfId
"39.98958,39.98958,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/highestRanking",39.98958,39.98958,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/highestRanking,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/property/highestRanking
"1.73634,1.73634,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/height",1.73634,1.73634,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/height
"173.63440,173.63440,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/Person/height",173.6344,173.6344,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/Person/height
"858.88172,858.88172,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/currentRanking",858.88172,858.88172,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/currentRanking,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/property/currentRanking
"67.48715,67.48715,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/Person/weight",67.48715,67.48715,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/Person/weight
"67487.15100,67487.15100,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/weight",67487.151,67487.151,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/weight,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/weight
"99176047639071904.00000,99176047639071904.00000,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/titles",9.9176E+16,9.9176E+16,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/titles,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/property/titles
"1811.35185,1811.35185,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/activeYearsStartYear",1811.35185,1811.35185,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/activeYearsStartYear,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/activeYearsStartYear
"210.84906,210.84906,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/size",210.84906,210.84906,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/size,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/property/size
"1737.84211,1737.84211,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/activeYearsEndYear",1737.84211,1737.84211,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/ontology/activeYearsEndYear,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/ontology/activeYearsEndYear
"212.90323,212.90323,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/imageSize",212.90323,212.90323,http://dbpedia.org/ontology/BadmintonPlayer - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/BadmintonPlayer , http://dbpedia.org/property/imageSize
"735430815.12000,735430815.12000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/wikiPageRevisionID",735430815.1,735430815.1,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/ontology/wikiPageRevisionID
