Property,occurences,unit
 http://dbpedia.org/ontology/height,13,meters except for vollyball players
 http://dbpedia.org/ontology/Person/height,13,cm except for vollyball players
 http://dbpedia.org/property/height,6,not consistent
 http://dbpedia.org/property/heightCm,1,cm    
 http://dbpedia.org/property/heightFt,1,ft
 http://dbpedia.org/property/heightIn,1,ft
 http://dbpedia.org/ontology/Person/weight,11,kg
 http://dbpedia.org/ontology/weight,11,grams
 http://dbpedia.org/property/weight,1,pounds
 http://dbpedia.org/ontology/elevation,1,meters   
 http://dbpedia.org/property/elevation,1,ft
 http://dbpedia.org/property/seatingCapacity,1,
 http://dbpedia.org/ontology/seatingCapacity,1,
 http://dbpedia.org/ontology/numberOfParticipatingAthletes,1,
 http://dbpedia.org/property/numEvents,1,
 http://dbpedia.org/property/events,1,
 http://dbpedia.org/property/year,1,
