player_name,club,height,weight,birthplace,status,height in cm,weight in kg
David Accam,Chicago Fire,5' 9'',154 lb,Ghana,Active,175.26,69.85322498
Kellyn Acosta,FC Dallas,5' 10'',150,USA,Active,177.8,68.0388555
Adaílton,Chicago Fire,6' 3'',180,Brazil,Active,190.5,81.6466266
Sam Adekugbe,Vancouver Whitecaps FC,5' 9'',165,England,Active,175.26,74.84274105
Fanendo Adi,Portland Timbers,6' 4'',185,Nigeria,Active,193.04,83.91458845
Tesho Akindele,FC Dallas,6' 1'',170,Canada,Active,185.42,77.1107029
Fatai Alashe,,6',170,USA,Active,182.88,77.1107029
Eric Alexander,New York Red Bulls,6' 1'',165,USA,Active,185.42,74.84274105
Jordan Allen,Real Salt Lake,5' 11'',160,USA,Active,180.34,72.5747792
Osvaldo Alonso,Seattle Sounders FC,5' 11'',165,Cuba,Active,180.34,74.84274105
Kevin Alston,New England Revolution,5' 8'',160,USA,Active,172.72,72.5747792
Quincy Amarikwa,Chicago Fire,5' 9'',180,USA,Active,175.26,81.6466266
Jalil Anibaba,Sporting Kansas City,6',185,USA,Active,182.88,83.91458845
Bernardo Añor,Sporting Kansas City,5' 8'',158,Venezuela,Active,172.72,71.66759446
Manny Aparicio,Toronto FC,5' 6'',149,Argentina,Active,167.64,67.58526313
Armando,New York Red Bulls,6' 1'',175,Spain,Active,185.42,79.37866475
Davy Arnaud,D.C. United,5' 11'',160,USA,Active,180.34,72.5747792
Jairo Arrieta,Orlando City SC,5' 9'',150,Costa Rica,Active,175.26,68.0388555
Corey Ashe,Houston Dynamo,5' 5'',154,USA,Active,165.1,69.85322498
Dairon Asprilla,Portland Timbers,5' 11'',165,Colombia,Active,180.34,74.84274105
Jeff Attinella,Real Salt Lake,6' 2'',190,USA,Active,187.96,86.1825503
Micheal Azira,Seattle Sounders FC,5' 10'',160,Uganda,Active,177.8,72.5747792
Mehdi Ballouchy,New York City FC,5' 11'',169,Morocco,Active,180.34,76.65711053
Brandon Barklage,San Jose Earthquakes,5' 11'',165,USA,Active,180.34,74.84274105
Darrius Barnes,New England Revolution,6' 1'',175,USA,Active,185.42,79.37866475
Giles Barnes,Houston Dynamo,5' 11'',181,England,Active,180.34,82.10021897
Leandro Barrera,San Jose Earthquakes,5' 8'',171,Argentina,Active,172.72,77.56429527
Chad Barrett,Seattle Sounders FC,5' 11'',185,USA,Active,180.34,83.91458845
Chad Barson,Columbus Crew SC,5' 10'',170,USA,Active,177.8,77.1107029
DaMarcus Beasley,Houston Dynamo,5' 8'',145,USA,Active,172.72,65.77089365
Kyle Beckerman,Real Salt Lake,5' 11'',165,USA,Active,180.34,74.84274105
Adam Bedell,Columbus Crew SC,6' 6'',204,USA,Active,198.12,92.53284348
Steven Beitashour,Vancouver Whitecaps FC,5' 10'',170,USA,Active,177.8,77.1107029
Kyle Bekker,Toronto FC,5' 9'',165,Canada,Active,175.26,74.84274105
Louis Béland-Goyette,Montreal Impact,5' 8'',140,Canada,Active,172.72,63.5029318
Tony Beltran,Real Salt Lake,5' 8'',150,USA,Active,172.72,68.0388555
Joe Bendik,Toronto FC,6' 2'',217,USA,Active,187.96,98.42954429
Víctor Bernárdez,San Jose Earthquakes,6' 2'',190,Honduras,Active,187.96,86.1825503
John Berner,Colorado Rapids,6' 3'',205,USA,Active,190.5,92.98643585
Patrice Bernier,Montreal Impact,5' 9'',170,Canada,Active,175.26,77.1107029
Austin Berry,Philadelphia Union,6' 2'',188,USA,Active,187.96,85.27536556
Matt Besler,Sporting Kansas City,6',170,USA,Active,182.88,77.1107029
Nick Besler,,6' 1'',165,USA,Active,185.42,74.84274105
Claudio Bieler,Sporting Kansas City,5' 11'',171,Argentina,Active,180.34,77.56429527
Steve Birnbaum,D.C. United,6' 2'',180,USA,Active,187.96,81.6466266
Andre Blake,Philadelphia Union,6' 4'',175,Jamaica,Active,193.04,79.37866475
Mark Bloom,Toronto FC,5' 11'',162,USA,Active,180.34,73.48196394
Nat Borchers,Portland Timbers,6' 2'',175,USA,Active,187.96,79.37866475
Bobby Boswell,D.C. United,6' 2'',185,USA,Active,187.96,83.91458845
Rubén Bover,New York Red Bulls,5' 7'',144,Spain,Active,170.18,65.31730128
Tristan Bowen,New England Revolution,5' 11'',170,USA,Active,180.34,77.1107029
Michael Bradley,Toronto FC,6' 2'',179,USA,Active,187.96,81.19303423
Jeb Brovsky,New York City FC,6' 1'',170,USA,Active,185.42,77.1107029
Deshorn Brown,Colorado Rapids,6' 2'',170,Jamaica,Active,187.96,77.1107029
Will Bruin,Houston Dynamo,6' 2'',194,USA,Active,187.96,87.99691978
Teal Bunbury,New England Revolution,6' 2'',175,Canada,Active,187.96,79.37866475
Marc Burch,Colorado Rapids,6' 1'',180,USA,Active,185.42,81.6466266
Bobby Burling,Colorado Rapids,6' 5'',195,USA,Active,195.58,88.45051215
Evan Bush,Montreal Impact,6' 1'',186,USA,Active,185.42,84.36818082
Michael Bustamante,New York Red Bulls,5' 9'',160,Colombia,Active,175.26,72.5747792
Victor Cabrera,Montreal Impact,6',165,Argentina,Active,182.88,74.84274105
Tim Cahill,New York Red Bulls,5' 10'',150,Australia,Active,177.8,68.0388555
Scott Caldwell,New England Revolution,5' 8'',150,USA,Active,172.72,68.0388555
Steven Caldwell,Toronto FC,6' 2'',195,Scotland,Active,187.96,88.45051215
Caleb Calvert,Colorado Rapids,6' 2'',160,USA,Active,187.96,72.5747792
Hassoun Camara,Montreal Impact,6' 2'',190,France,Active,187.96,86.1825503
Marco Carducci,Vancouver Whitecaps FC,6' 1'',185,Canada,Active,185.42,83.91458845
Brian Carroll,Philadelphia Union,5' 10'',155,USA,Active,177.8,70.30681735
Tony Cascio,Orlando City SC,6',170,USA,Active,182.88,77.1107029
Santiago Castaño,New York Red Bulls,6' 2'',184,USA,Active,187.96,83.46099608
